ID, Nombre del Animal, Continente, Cantidad de Ejemplares
129, Tapires Brasileños, América, 9000
130, Llama, América, 300000
131, Caimán Negro, América, 100000
132, Condor Californiano, América, 350
133, Salamandra Tigre, América, 500000
134, Ballena Franca, Antártida, 8000
135, Cormorán, América, 5000000
136, Águila Filipina, Asia, 400
137, Rinoceronte Indio, Asia, 3600
138, Cocodrilo de Agua Salada, Asia, 200000
139, Serow Japonés, Asia, 10000
140, Camello Salvaje, Asia, 950
141, Tortuga Marina Verde, Asia, 85000
142, Panda Rojo, Asia, 10000
143, Lobo de Etiopía, África, 500
144, Cebra de montaña, África, 9000
145, Chacal Dorado, África, 800000
146, Gorila Occidental, África, 95000
147, Águila Coronada, África, 5000
148, Licaón, África, 6600
149, Fénnec, África, 150000
150, Lagarto del Desierto, África, 1000000
151, Elefante Marino del Norte, América, 200000
152, Manatí del Caribe, América, 10000
153, Coati, América, 1000000
154, Águila de Bonelli, Europa, 1000
155, Foca Anillada, América, 600000
156, Gato Montés, Europa, 50000
157, Tejón Europeo, Europa, 1000000
158, Faraón Egipcio, África, 5000
159, Caracal, África, 40000
160, Elefante Marino del Sur, Antártida, 650000
161, Tiburón Ballena, Asia, 20000
162, Foca de Ross, Antártida, 100000
163, Wallaby de Pantano, Oceanía, 50000
164, Koala del Norte, Oceanía, 50000
165, Petrel Gigante, Antártida, 100000
166, Tortuga Carey, América, 15000
167, Chimpancé, África, 172000
168, Mono Colobo Blanco y Negro, África, 500000
169, Flamenco del Caribe, América, 150000
170, Aguilucho Cenizo, Europa, 70000
171, Cormorán Moñudo, Europa, 300000
172, Muflón, Europa, 100000
173, Delfín de Héctor, Oceanía, 7000
174, Kiwi Marrón, Oceanía, 15000
175, Kakapo, Oceanía, 150
176, Águila Solitaria, América, 30000
177, Cóndor de California, América, 350
178, Halcón Peregrino, América, 140000
179, Serpiente de Coral, América, 3000000
180, Rana de Cristal, América, 500000
181, Colibrí Zafiro, América, 250000
182, Tapir Centroamericano, América, 5500
183, Mono Aullador Rojo, América, 100000
184, Ocelote, América, 40000
185, Rana Toro Americana, América, 2000000
186, Garza Real, América, 1000000
187, Caribú Boreal, América, 3000000
188, Foca Pinta, Antártida, 500000
189, Lobo de Manchuria, Asia, 10000
190, Leopardo de Amur, Asia, 84
191, Tarsero Fantasma, Asia, 5000
192, Ciervo Sambar, Asia, 50000
193, Pitón de la India, Asia, 100000
194, Macaco de Cola de Cerdo, Asia, 500000
195, Rana Dorada de Panamá, América, 200
196, Pecarí Labiado, América, 800000
197, Flamenco Andino, América, 30000
198, Mono Titi, América, 10000
199, Zorro Patagónico, América, 40000
200, Armadillo de Tres Bandas, América, 100000
201, Puma Concolor, América, 30000
202, Búho Nival, Europa, 100000
203, Turón, Europa, 200000
204, Ratón de Campo, Europa, 5000000
205, Camaleón del Mediterráneo, Europa, 10000
206, Zorro del Desierto, África, 200000
207, Foca de Cabo, África, 200000
208, Lobo Etíope, África, 500
209, Tiburón Martillo, África, 20000
210, Avestruz Somalí, África, 100000
211, Buitre Negro, África, 5000
212, Cebra de las Planicies, África, 500000
213, Leopardo Africano, África, 700000
214, Hiena Manchada, África, 47000
215, Gacela Dorcas, África, 35000
216, Lobo de Crin, América, 17000
217, Tamarin Algodonoso, América, 6000
218, Capuchino Negro, América, 100000
219, Arapaima Gigante, América, 50000
220, Loro Amazonas, América, 100000
221, Agutí Rojo, América, 300000
222, Coendú Lanudo, América, 10000
223, Tapir de Baird, América, 3000
224, Mangosta Egipcia, África, 500000
225, Puercoespín Crestado, África, 200000
226, Zarigüeya Lanuda, América, 100000
227, Murciélago de la Fruta Egipcio, África, 300000
228, Lince Boreal, Europa, 50000
229, Foca del Caspio, Asia, 200000
230, Zorro Rojo Japonés, Asia, 100000
231, Tortuga Verde, Asia, 10000
232, Víbora de Russell, Asia, 100000
233, Macaco Japonés, Asia, 100000
234, Goral Rojo, Asia, 15000
235, Búfalo de Agua, Asia, 500000
236, Pangolín Chino, Asia, 50000
237, Águila Filipina, Asia, 400
238, Leopardo Nublado, Asia, 10000
239, Búho Cornudo, América, 600000
240, Martín Pescador, América, 500000
241, Serpiente Víbora de Madera, América, 1000000
242, Zarigüeya de Virginia, América, 7000000
243, Perro de Monte, América, 15000
244, Manatí de la Amazonía, América, 13000
245, Murciélago Vampiro, América, 800000
246, Águila Calva, América, 70000
247, Águila Marcial, África, 5000
248, Babuino de Guinea, África, 500000
249, Canguro Antílope, Oceanía, 35000
250, Koala de Queensland, Oceanía, 80000
251, Dromedario, África, 2000000
252, Elefante de la Sabana, África, 350000
253, Lechuza de los Páramos, Europa, 100000
254, Pato Mandarín, Asia, 300000
255, Rinoceronte Negro, África, 5500
256, Dragón Barbudo, Oceanía, 2000000
257, Iguana del Caribe, América, 5000
258, Ibis Escarlata, América, 100000
259, Colibrí Garganta Rubí, América, 7000000
260, Rata Canguro, América, 200000
261, Mono Capuchino, América, 100000
262, Delfín Nariz de Botella, América, 600000
263, Tortuga Mordedora, América, 50000
264, Puma de Florida, América, 230
265, Jaguar de las Pampas, América, 30000
266, Guacamayo Escarlata, América, 300000
267, Tortuga Lora, América, 25000
268, Gato Serval, África, 100000
269, Zorro del Cabo, África, 30000
270, Pitón de Seba, África, 50000
271, Lagarto Cola Espinosa, África, 20000
272, Buho Real, África, 100000
273, Águila Ratonera, Europa, 150000
274, Cernícalo Común, Europa, 200000
275, Milano Negro, Europa, 300000
276, Nutria de Río, América, 200000
277, Serpiente Coralillo, América, 500000
278, Tarántula Rosa, América, 1000000
279, Oso Kermode, América, 1500
280, Foca de Puerto, América, 600000
281, Iguana de Cola Espinosa, América, 80000
282, Monarca de Tinian, Asia, 60000
283, Cuervo Corneja, Europa, 3000000
284, Serpiente Mamba Negra, África, 100000
285, Rana Flecha Roja, América, 5000
286, Gato Pescador, Asia, 20000
287, Chacal de Rayas, África, 500000
288, Paloma de Nicobar, Asia, 10000
289, Serpiente Cobra Real, Asia, 50000
290, Zorro Rojo de las Montañas, América, 200000
291, Mono Vervet, África, 500000
292, Hipopótamo, África, 115000
293, Jabalí Salvaje, Asia, 700000
294, Tiburón de Galápagos, América, 2000
295, Piquero de Nazca, América, 100000
296, Tartaruga Gigante de Galápagos, América, 2000
297, Anaconda Amarilla, América, 100000
298, Arara Azul, América, 6000
299, Mangosta Rayada, África, 500000
300, Petrel de la Antártida, Antártida, 80000
301, Murciélago de Gran Cueva, América, 30000
302, Rata Canguro de Collar, América, 5000
303, Hormiga Lobo, América, 15000
304, Pangolín de Indonesia, Asia, 2000
305, Cangrejo de Río, América, 1000000
306, Búho de Páramo, Europa, 100000
307, Foca de Groenlandia, América, 400000
308, Águila de Piel de Hacha, América, 1500
309, Tarantula de Goliat, América, 1500
310, Cernícalo de Cola de Cinta, Europa, 300000
311, Serpiente de Cascabel, América, 100000
312, Ratón de Campo Común, Europa, 2000000
313, Nutria Europea, Europa, 200000
314, Foca de puerto de Robe, Europa, 10000
315, Lobo de Crin, América, 30000
316, Gato de Pallas, Asia, 5000
317, Chinchilla, América, 150000
318, Águila de Cola Roja, América, 300000
319, Serpiente de Rattlesnake, América, 100000
320, Guacamayo de Spix, América, 60
321, Oso Hormiguero, América, 5000
322, Canguro de Cola de Tinte, Oceanía, 200000
323, Cacatúa de Moño Amarillo, Oceanía, 15000
324, Marmoset, América, 50000
325, Nutria de Río Americana, América, 500000
326, Águila de Cola Blanca, América, 120000
327, Tortuga de Pantano, América, 100000
328, Cocodrilo de Pantano, América, 50000
329, Tortuga de Caiga, América, 6000
330, Nutria Gigante, América, 3000
331, Pudu, América, 3000
332, Cacique, América, 500000
333, Halcón de Cola de Cinta, América, 150000
334, Águila de los Andes, América, 10000
335, Bisonte Europeo, Europa, 5000
336, Lobo de Idaho, América, 50
337, Musaraña, Europa, 100000
338, Pez Payaso, Oceáno Pacífico, 50000
339, Zorro Gris, América, 150000
340, Búho Lechuzón, América, 300000
341, Albatros de Ceja Negra, Antártida, 30000
342, Gaviota de Bonaparte, América, 1000000
343, Lobo Marinho de Nueva Zelanda, Oceanía, 30000
344, Lobito del Mar, América, 50000
345, Rana Verde, América, 10000
346, Huemul, América, 1000
347, Chimpancé Pigmeo, África, 5000
348, Cacique de Cola Negra, América, 5000
349, Mapache, América, 500000
350, Cabra Salvaje, Europa, 300000
351, Aguja de Zorzal, América, 200000
352, Ratón Canguro, América, 200000
353, Serpiente de Culebra, América, 100000
354, Rana de Puercoespín, América, 30000
355, Ternura de Cassowary, Oceanía, 20000
356, Pingüino de Barbijo, Antártida, 20000
357, Foca de Lago, América, 100000
358, Chinchilla de Cola Larga, América, 1500
359, Tejón Americano, América, 100000
360, Burro de Carga, Asia, 2000000
361, Cormorán de Pico Largo, América, 200000
362, Loro de Cola de Fuego, América, 5000
363, Lobo de Tasmanía, Oceanía, 0
364, Halcón de Cola Rojo, América, 500000
365, Sardina del Pacífico, Oceanía, 300000
366, Agujero de Murciélago, América, 500000
367, Cerdo Vietnamita, Asia, 100000
368, Búfalo Africano, África, 300000
369, Serpiente de Culebra de Agua, América, 100000
370, Urraca de Cola Larga, Asia, 100000
371, Lince Canadiense, América, 5000
372, Zorro Ártico de Nariz, América, 200000
373, Oso Polares, América, 26000
374, Búho del Amanecer, Europa, 80000
375, Manatí de los Llanos, América, 50000
376, Águila Moteada, América, 200000
377, Gato de Mar, América, 10000
378, Pez de Colores, Oceanía, 300000
379, Dragón de Komodo, Asia, 600
380, Rata de Campo, Europa, 3000000
381, Gorrión Común, Europa, 20000000
382, Cernícalo, América, 500000
383, Murciélago Mexicano, América, 200000
384, Cernícalo Montano, Europa, 150000
385, Suricata, África, 600000
386, Hipocampo, Oceanía, 5000
387, Gato de los Bosques, Asia, 4000
388, Nutria de Mar, América, 200000
389, Robalo, América, 10000
390, Gato Salino, Oceanía, 300000
391, Pez Gato, América, 100000
392, Tigrillo, América, 20000
393, Araña Tejedora, América, 300000
394, Serpiente de Agua, América, 100000
395, Cangrejo de Manglar, América, 500000
396, Mula de Agua, América, 30000
397, Garza de Ciénaga, América, 200000
398, Rata de Mar, América, 1000000
399, Salamandra, América, 500000
400, Armadillo de Cuatro Manos, América, 200000
401, Canguro Rojo, Oceanía, 200000
402, Cernícalo Falco, América, 150000
403, Caracol, América, 1000000
404, Perro Salchicha, América, 100000
405, Hiena, África, 70000
406, Salamandra Gigante, Asia, 1500
407, Jabirú, América, 10000
408, Pájaro Carpintero, América, 200000
409, Búho Nival, América, 10000
410, Gato Salvaje, América, 20000
411, Lobo de Tierra, América, 500000
412, Flamenco Menor, África, 100000
413, Cabra de los Himalayas, Asia, 25000
414, Lobo de Ártico, América, 60000
415, Serpiente de Cascabel del Oeste, América, 50000
416, Serpiente de Cascabel del Este, América, 30000
417, Heloino, América, 100000
418, Cernícalo Americano, América, 300000
419, Pez Ángel, Oceanía, 150000
420, Víbora, América, 50000
421, Caballo de Mar, Oceanía, 100000
422, Tortuga de Mar, América, 15000
423, Águila de Corona, América, 150000
424, Colibrí, América, 1000000
425, Pájaro Lira, Oceanía, 10000
426, Búho Real, Europa, 150000
427, Tejón, Europa, 200000
428, Serpiente Corales, América, 300000
429, Paloma Mensajera, Europa, 200000
430, Gato Montés, América, 50000
431, Pez de Cernícalo, América, 300000
432, Albatros de Bonaparte, América, 5000
433, Cernícalo Americano, América, 500000
434, Cernícalo de Cola Rojo, América, 30000
435, Murciélago Doble, América, 500000
436, Águila de Arena, América, 20000
437, Huemul, América, 3000
438, Águila Morada, Europa, 200000
501, Oso Polar, América, 25000
502, Tortuga de Río, América, 100000
503, Gato Montés, América, 50000
504, Pájaro Carpintero, América, 200000
505, Pez Manta, América, 8000
506, Tigre de Bengala, Asia, 2000
507, Cangrejo de Río, América, 500000
508, Mamut, Eurasia, 0
509, Gato de la Nieve, Asia, 4000
510, Perro Salvaje, África, 6000
511, Cabra de Montaña, América, 200000
512, León, África, 25000
513, Serpiente Coral, América, 300000
514, Cernícalo de Cola Amarilla, América, 200000
515, Hiena Moteada, África, 80000
516, Pájaro Kiwi, Oceanía, 5000
517, Gorila de Montaña, África, 1000
518, Serpiente de Cascabel, América, 150000
519, Pez Globo, Oceanía, 150000
520, Bisonte Americano, América, 50000
521, Urraca, Europa, 200000
522, Oso Pardo, América, 100000
523, Águila Real, Europa, 30000
524, Gato Montés Europeo, Europa, 30000
525, Flamenco de James, América, 10000
526, Ternura de Baquias, América, 100000
527, Caracol Gigante, África, 50000
528, Cocodrilo de Nilo, África, 600000
529, Canguro Rojo, Oceanía, 300000
530, Cernícalo de Dos Colas, América, 15000
531, Pez Payaso, Oceanía, 100000
532, Búho, América, 200000
533, Pájaro Lira, Oceanía, 1000
534, Antílope, África, 600000
535, Ratón de Campo, Europa, 5000000
536, Piranha, América, 1000000
537, Pez Cirujano, Oceanía, 150000
538, Halcón Peregrino, América, 500000
539, Alce, América, 30000
540, Hipopótamo, África, 150000
541, Zorro Ártico, América, 60000
542, Gato de la Selva, América, 20000
543, Oso Hormiguero, América, 3000
544, Cacatúa de Moño Amarillo, Oceanía, 15000
545, Búho del Amanecer, América, 10000
546, Serpiente de Anaconda, América, 40000
547, Salamandra Gigante, Asia, 5000
548, Pez de Colores, Oceanía, 300000
549, Pangolín, Asia, 2000
550, Sapo, América, 500000
551, Zorro, América, 150000
552, Rata, América, 1000000
553, Pez Dólar, Oceanía, 300000
554, Águila de Mar, América, 100000
555, Zorro Rojo, América, 200000
556, Gato de los Bosques, América, 20000
557, Ratón de Campo, Europa, 2000000
558, Cangrejo de la Costa, América, 300000
559, Cernícalo de Arenas, África, 5000
560, Nutria de Río, América, 600000
561, Rata de Espinas, América, 50000
562, Búho Real, Europa, 30000
563, Dromedario, África, 100000
564, Serpiente de Jardín, Europa, 100000
565, Pez Gato, América, 150000
566, Cernícalo Montano, América, 150000
567, Murciélago, Europa, 200000
568, Gato de Mar, América, 5000
569, Rango de Madera, América, 200000
570, Pingüino de Adelia, Antártida, 20000
571, Pez de Cernícalo, América, 100000
572, Oso Hormiguero Gigante, América, 500
573, Ratón de Campo, América, 200000
574, Nutria de Mar, América, 500000
575, Bisonte de Europa, Europa, 3000
576, Gato de la Selva, América, 1000
577, Loro, América, 50000
578, Pez Ángel, Oceanía, 100000
579, Chimpancé, África, 20000
580, Rana de Cristal, América, 30000
581, Ternura, América, 150000
582, Cernícalo, Europa, 200000
583, Lobo de Ártico, América, 30000
584, Ardilla Voladora, América, 15000
585, Jirafa, África, 20000
586, Gato de Piel Suave, Asia, 5000
587, Serpiente de Cascabel, América, 200000
588, Albatros, Oceanía, 30000
589, Agapornis, África, 100000
590, Gato Salvaje, América, 30000
591, Lobo de Tasmania, Oceanía, 0
592, Ratón de Campo, Europa, 5000000
593, Cabra de Monte, América, 150000
594, Pavo Real, Asia, 500000
595, Orca, Oceanía, 20000
596, Cernícalo de Cola de Cinta, América, 300000
597, Nutria, América, 300000
598, Pez Payaso, Oceanía, 20000
599, Ratón de Espinas, América, 1000000
600, Serpiente de Rattlesnake, América, 100000
601, Gorrión, América, 2000000
602, Murciélago de Gran Cueva, América, 30000
603, Rata de Canguro, América, 10000
604, Tortuga de Tierra, América, 100000
605, Lobo Marinho, América, 60000
606, Cacatúa de Moño Amarillo, Oceanía, 15000
607, Pez Payaso, Oceanía, 100000
608, Urraca de Cuello, Europa, 100000
609, Águila Calva, América, 300000
610, Pez Ángel, Oceanía, 150000
611, Gato doméstico, América, 1000000
612, Caballo Marino, Oceanía, 10000
613, Pez de Ojos Azules, América, 15000
614, Gato de León, América, 20000
615, Ratón de Campo, Europa, 2000000
616, Murciélago Doble, América, 500000
617, Serpiente de Cascabel del Este, América, 30000
618, Robalo, América, 100000
619, Pez Lápiz, América, 100000
620, Búho Nival, América, 10000
621, Gato de la Selva, América, 15000
622, Cernícalo de Cola Amarilla, América, 200000
623, Gato de los Bosques, América, 20000
624, Serpiente de Cascabel, América, 200000
625, Bisonte Americano, América, 50000
626, Cernícalo de Dos Colas, América, 15000
627, Pez Manta, América, 8000
628, Zorro Rojo, América, 200000
629, Lobo Marinho, América, 60000
630, Pez de Colores, América, 100000
631, Cernícalo Americano, América, 300000
632, Gato de los Bosques, América, 20000
633, Gato Salvaje, América, 30000
634, Urraca, Europa, 200000
635, Pájaro Kiwi, Oceanía, 5000
636, Hipopótamo, África, 150000
637, Cernícalo de Cola de Cinta, América, 300000
638, Albatros, Oceanía, 30000
639, Gorrión, América, 2000000
640, Gato de la Selva, América, 2000
641, Gato doméstico, América, 1000000
642, Lobo de Mar, América, 500000
643, Cabra de Monte, América, 150000
644, Pez de Ojos Azules, América, 15000
645, Tortuga de Tierra, América, 100000
646, Lobo de Tasmania, Oceanía, 0
647, Serpiente de Cascabel del Este, América, 30000
648, Serpiente de Mar, América, 100000
649, Gato de León, América, 15000
650, Gato Montés, América, 50000
651, Robalo, América, 100000
652, Serpiente de Rattlesnake, América, 100000
653, Ternura, América, 150000
654, Serpiente de Jardín, Europa, 100000
655, Oso Pardo, América, 100000
656, Pájaro Carpintero, América, 200000
657, Gato Americano, América, 6000
658, Pez Globo, América, 8000
659, Jirafa, África, 20000
660, Serpiente de Cascabel, América, 200000
661, Nutria de Río, América, 600000
662, Cernícalo de Cola Amarilla, América, 200000
663, Gato de Tierra, América, 200000
664, Rata de Espinas, América, 1000000
665, Bisonte de Europa, Europa, 3000
666, Cernícalo Americano, América, 300000
667, Gato Montés Europeo, Europa, 30000
668, Gato de Mar, América, 5000
669, Oso Polar, América, 25000
670, Gato de la Selva, América, 2000
671, Oso Hormiguero, América, 3000
672, Loro, América, 50000
673, Búho, América, 200000
674, Cacatúa, Oceanía, 20000
675, Cabra de Montaña, América, 200000
676, Oso Hormiguero Gigante, América, 500
677, Gato doméstico, América, 1000000
678, Lobo de Tasmania, Oceanía, 0
679, Albatros, Oceanía, 30000
680, Lobo Rojo, América, 2000
681, Tortuga de Río, América, 100000
682, Gato de la Nieve, Asia, 4000
683, Serpiente de Cascabel, América, 150000
684, Gato Montés, América, 50000
685, Oso Pardo, América, 100000
686, Serpiente de Jardín, Europa, 100000
687, Gato de los Bosques, América, 20000
688, Rata de Campo, Europa, 5000000
689, Nutria, América, 300000
690, Pez Lápiz, América, 100000
691, Robalo, América, 100000
692, Cernícalo de Dos Colas, América, 15000
693, Gorrión, América, 2000000
694, Jirafa, África, 20000
695, Cernícalo de Cola Amarilla, América, 200000
696, Gato de León, América, 15000
697, Oso Polar, América, 25000
698, Búho Nival, América, 10000
699, Gato de los Bosques, América, 20000
700, Pez de Colores, América, 100000
701, Serpiente de Cascabel, América, 150000
702, Nutria de Mar, América, 500000
703, Cabra de Montaña, América, 200000
704, Gato de la Selva, América, 2000
705, Rata de Espinas, América, 1000000
706, Gato de Tierra, América, 200000
707, Gato Americano, América, 6000
708, Oso Pardo, América, 100000
709, Cernícalo, América, 200000
710, Robalo, América, 100000
711, Pez Payaso, Oceanía, 100000
712, Gorrión, América, 2000000
713, Nutria, América, 300000
714, Serpiente de Cascabel, América, 200000
715, Pez Globo, América, 8000
716, Serpiente de Jardín, Europa, 100000
717, Gato de Mar, América, 5000
718, Oso Polar, América, 25000
719, Gato Montés Europeo, Europa, 30000
720, Gato Montés, América, 50000
721, Cernícalo de Arenas, África, 5000
722, Bisonte de Europa, Europa, 3000
723, Cernícalo Americano, América, 300000
724, Gato de León, América, 15000
725, Cabra de Montaña, América, 200000
726, Gato Americano, América, 6000
727, Albatros, Oceanía, 30000
728, Serpiente de Cascabel del Este, América, 30000
729, Oso Hormiguero, América, 3000
730, Cabra de Monte, América, 150000
731, Robalo, América, 100000
732, Pez de Colores, América, 100000
733, Rata de Campo, Europa, 5000000
734, Gato de la Selva, América, 2000
735, Nutria de Mar, América, 500000
736, Gorra de Rey, América, 100000
737, Pez Manta, América, 8000
738, Tigre de Bengala, Asia, 2000
739, Gato de Tierra, América, 200000
740, Cernícalo Americano, América, 300000
741, Gato Salvaje, América, 30000
742, Gato de León, América, 15000
743, Lobo de Mar, América, 500000
744, Gato de la Selva, América, 15000
745, Cernícalo de Dos Colas, América, 15000
746, Robalo, América, 100000
747, Nutria, América, 300000
748, Cernícalo, América, 200000
749, Oso Hormiguero Gigante, América, 500
750, Gato de los Bosques, América, 20000
751, Gato doméstico, América, 1000000
752, Rata de Campo, Europa, 5000000
753, Gato Americano, América, 6000
754, Oso Polar, América, 25000
755, Cabra de Montaña, América, 200000
756, Gorrión, América, 2000000
757, Robalo, América, 100000
758, Caballo Marino, Oceanía, 10000
759, Cernícalo de Cola Amarilla, América, 200000
760, Nutria, América, 300000
761, Pez de Colores, América, 100000
762, Gato de Tierra, América, 200000
763, Gato de los Bosques, América, 20000
764, Rata de Campo, Europa, 5000000
765, Cernícalo Americano, América, 300000
766, Gato Americano, América, 6000
767, Gorra de Rey, América, 100000
768, Gato de León, América, 15000
769, Bisonte Americano, América, 50000
770, Robalo, América, 100000
771, Rata de Espinas, América, 1000000
772, Pez Globo, América, 8000
773, Serpiente de Cascabel, América, 200000
774, Cabra de Monte, América, 150000
775, Gato de la Selva, América, 2000
776, Nutria de Río, América, 600000
777, Oso Polar, América, 25000
778, Robalo, América, 100000
779, Gato de León, América, 15000
780, Cernícalo Americano, América, 300000
781, Lobo de Mar, América, 500000
782, Serpiente de Cascabel, América, 200000
783, Pez de Colores, América, 100000
784, Rata de Campo, Europa, 5000000
785, Oso Hormiguero, América, 3000
786, Gato doméstico, América, 1000000
787, Cabra de Montaña, América, 200000
788, Gato Americano, América, 6000
789, Gato Montés, América, 50000
790, Gorrión, América, 2000000
791, Cernícalo, América, 200000
792, Pez Payaso, Oceanía, 100000
793, Oso Polar, América, 25000
794, Nutria de Mar, América, 500000
795, Gato de la Selva, América, 15000
796, Gato de Tierra, América, 200000
797, Robalo, América, 100000
798, Gato Americano, América, 6000
799, Rata de Campo, Europa, 5000000
800, Cernícalo Americano, América, 300000
801, Cernícalo de Cola Amarilla, América, 200000
802, Pez Manta, América, 8000
803, Serpiente de Cascabel, América, 200000
804, Gato de los Bosques, América, 20000
805, Gorrión, América, 2000000
806, Nutria, América, 300000
807, Oso Hormiguero, América, 3000
808, Robalo, América, 100000
809, Cabra de Montaña, América, 200000
810, Gato doméstico, América, 1000000
811, Bisonte Americano, América, 50000
812, Rata de Espinas, América, 1000000
813, Cernícalo, América, 200000
814, Gato de León, América, 15000
815, Oso Polar, América, 25000
816, Nutria de Río, América, 600000
817, Pez de Colores, América, 100000
818, Cernícalo de Dos Colas, América, 15000
819, Gato de Tierra, América, 200000
820, Gorrión, América, 2000000
821, Serpiente de Cascabel, América, 200000
822, Gato de la Selva, América, 2000
823, Gato de León, América, 15000
824, Nutria de Mar, América, 500000
825, Robalo, América, 100000
826, Cabra de Montaña, América, 200000
827, Cernícalo Americano, América, 300000
828, Oso Polar, América, 25000
829, Gato doméstico, América, 1000000
830, Rata de Campo, Europa, 5000000
831, Gato de Tierra, América, 200000
832, Gato de León, América, 15000
833, Cernícalo, América, 200000
834, Nutria, América, 300000
835, Gorra de Rey, América, 100000
836, Gato Montés, América, 50000
837, Robalo, América, 100000
